lambda_m,alpha_limit
2.3133827036852326e-05,28072.162039411756
2.3133827036852326e-05,25673.362834923468
2.3558610409120853e-05,23479.543838777347
2.3558610409120853e-05,21473.189251512817
2.3558610409120853e-05,19638.280019297697
2.3991193654409455e-05,17960.165935257
2.3991193654409455e-05,16425.448669893318
2.4431719994000134e-05,15021.874796695165
2.488033527900418e-05,13738.237958832637
2.488033527900418e-05,12564.28939582378
2.533718803865138e-05,11490.656115802514
2.5802429529465457e-05,10508.766060061951
2.5802429529465457e-05,9610.779662375922
2.6276213785342674e-05,8789.527256656233
2.6758697668549977e-05,8038.451833199585
2.6758697668549977e-05,7351.556686480032
2.7250040921659526e-05,6723.357536499335
2.7750406220436924e-05,6148.83874142391
2.7750406220436924e-05,5623.41325190349
2.825995922770029e-05,5142.885987340235
2.9845447093261237e-05,4703.420341698629
3.0393469244673607e-05,4301.507551433295
3.0393469244673607e-05,3933.9386809632542
3.0393469244673607e-05,3597.779002020399
3.095155417978294e-05,3009.18075642245
3.095155417978294e-05,3290.3445623126677
3.151988667144103e-05,2752.0427278469006
3.151988667144103e-05,2516.877445706941
3.209865488529893e-05,2301.807313022468
3.268805044210586e-05,2105.115175679726
3.328826848115155e-05,1925.230612400019
3.3899507724873654e-05,1610.262027560939
3.3899507724873654e-05,1760.717396246669
3.452197054465162e-05,1231.7348843240488
3.452197054465162e-05,1126.4816923358867
3.452197054465162e-05,1472.6632467720615
3.452197054465162e-05,1346.822443349924
3.515586302780856e-05,1030.2225091759922
3.515586302780856e-05,942.1887862305441
3.515586302780856e-05,861.6776482670866
3.580139504584317e-05,788.0462815669904
3.580139504584317e-05,720.7068015985839
3.6458780323915187e-05,659.1215592536303
3.6458780323915187e-05,602.7988481714226
3.712823651160601e-05,504.18068838925825
3.712823651160601e-05,551.2889788770672
3.780998525497905e-05,461.09785663128554
3.780998525497905e-05,421.6965034285822
3.850425226996313e-05,385.6620421163472
3.850425226996313e-05,352.7067678296283
3.921126741708331e-05,322.5675604219659
3.921126741708331e-05,295.00378367233037
3.993126477756413e-05,269.7953640072999
3.993126477756413e-05,246.74103339868034
4.066448273082973e-05,225.65672240758545
4.141116403342788e-05,206.37409054478863
4.141116403342788e-05,188.73918221350976
4.2171555899402424e-05,172.6111975034648
4.2171555899402424e-05,157.8613680220102
4.2945910082141934e-05,144.3719287868352
4.2945910082141934e-05,132.03517797162962
4.373448295773111e-05,120.75261699758877
4.373448295773111e-05,110.43416410511021
4.4537535609832776e-05,100.99743512670975
4.535533391612852e-05,84.47420980017066
4.535533391612852e-05,92.36708571873866
4.61881486363461e-05,77.25578939550286
4.61881486363461e-05,70.6541914892261
4.703625550190416e-05,64.61670787466976
4.789993530720201e-05,59.09513432330601
4.877947400258625e-05,54.04538571452926
4.877947400258625e-05,49.4271440530476
4.967516278902419e-05,45.203536563602405
5.0587298214515855e-05,34.57746126234079
5.0587298214515855e-05,37.80821786803556
5.0587298214515855e-05,41.340841292871524
5.151618227227623e-05,31.622776601683796
5.246212250071995e-05,28.920573214237848
5.246212250071995e-05,26.449276278780548
5.342543208528286e-05,24.18915456789288
5.540544092366136e-05,22.122162910704457
5.642279572622324e-05,20.231798117381647
5.642279572622324e-05,18.502967215037664
5.745883119943842e-05,14.153441981605408
5.745883119943842e-05,16.921866943038975
5.745883119943842e-05,15.475873545578908
5.851389035781403e-05,12.944013747378898
5.851389035781403e-05,11.837932575700517
5.958832251428981e-05,10.82636733874054
6.068248339589069e-05,9.901241538910519
6.068248339589069e-05,9.055168824823188
6.179673526150171e-05,8.281394017489212
6.293144702180619e-05,6.926554271339669
6.293144702180619e-05,7.5737391758950094
6.408699436142605e-05,6.334672076708296
6.768251093955052e-05,5.793366910509547
6.892529732308768e-05,5.298316906283713
6.892529732308768e-05,4.845569506134165
6.892529732308768e-05,4.4315099028770835
7.01909037523599e-05,4.052832178846453
7.01909037523599e-05,3.7065129109221524
7.147974924908667e-05,3.10012574944565
7.147974924908667e-05,3.389787031039345
7.279226052906497e-05,2.835216364441976
7.412887214344803e-05,2.5929437974046667
7.412887214344803e-05,2.371373705661655
7.549002662261822e-05,2.168737038393229
7.687617462270112e-05,1.983415912249182
7.828777507477135e-05,1.65892818646465
7.828777507477135e-05,1.8139306939110593
7.972529533679654e-05,1.1605267956190963
7.972529533679654e-05,1.2689610031679233
7.972529533679654e-05,1.3875267970025023
7.972529533679654e-05,1.517170825260778
8.118921134837214e-05,1.0613584184128773
8.118921134837214e-05,0.9706640954679138
8.118921134837214e-05,0.8877197088985861
8.268000778829728e-05,0.8118630175427561
8.268000778829728e-05,0.7424883695230972
8.419817823504408e-05,0.6790418666262688
8.574422533017352e-05,0.5679503150998034
8.574422533017352e-05,0.6210169418915603
8.731866094475136e-05,0.5194182938704606
8.731866094475136e-05,0.47503339083435536
8.89220063488212e-05,0.4344412298729368
9.055479238398795e-05,0.39731771672304084
9.221755963917101e-05,0.36336645135679385
9.221755963917101e-05,0.33231636147669585
9.391085862958444e-05,0.25419816654466626
9.391085862958444e-05,0.30391953823131945
9.391085862958444e-05,0.2779492568716507
9.563524997900362e-05,0.23247663477117325
9.739130460537887e-05,0.21261123338996554
9.739130460537887e-05,0.1944433538798268
9.91796039098563e-05,0.1778279410038923
0.00010100073996927149,0.16263233466559024
0.00010100073996927149,0.14873521072935117
0.00010285531573217566,0.13602561234943067
0.00010474394521846244,0.12440206407282335
0.00010474394521846244,0.11377176164312006
0.00010666725372265979,0.10404983103657864
0.00010666725372265979,0.09515865081443299
0.00011062046658202034,0.08702723238099108
0.0001126516797817117,0.07959065319940704
0.00011472019012170691,0.07278953843983145
0.00011472019012170691,0.0665695869213343
0.00011682668245216118,0.046569700862183136
0.00011682668245216118,0.060881137562648686
0.00011897185419844938,0.05567877288020672
0.00011897185419844938,0.050920956367734076
