epoch,mode,seed,theta,theta0,drift,PCI,G_debt,P_survive,survive,temptation_payoff,work_extracted,gross_advantage,net_work
0,aligned,100000,0.004034398571470478,0.0004835969451103456,0.0035508016263601327,0.9964554950148221,539.0,0.5833312920976388,1,80.85000000000021,246.40000000000214,327.25000000000233,321.86000000000234
1,aligned,100000,-0.6784067159783387,0.0004835969451103456,0.678890312923449,0.5071794907356427,593.0,0.5526667948604818,1,88.95000000000051,340.79999999999967,429.75000000000017,423.82000000000016
2,aligned,100000,-0.8877786761549383,0.0004835969451103456,0.8882622731000487,0.4113699806873415,690.0,0.5015760690660556,1,103.50000000000107,503.99999999999795,607.499999999999,600.599999999999
3,aligned,100000,-0.6899328687536042,0.0004835969451103456,0.6904164656987145,0.5013672233295549,718.0,0.4877267346257312,0,107.70000000000122,548.7999999999969,656.4999999999981,649.3199999999981
4,aligned,100000,-0.4792679382273419,0.0004835969451103456,0.4797515351724523,0.6189371568166827,560.0,0.5712090638488149,1,84.00000000000033,296.0000000000011,380.0000000000014,374.4000000000014
5,aligned,100000,0.20784622036070421,0.0004835969451103456,0.20736262341559386,0.8127248834729978,592.0,0.5532197380808739,0,88.80000000000051,347.19999999999715,435.99999999999767,430.07999999999765
6,aligned,100000,0.5407434839796798,0.0004835969451103456,0.5402598870345694,0.5825968233368537,379.0,0.6845456126662782,1,56.84999999999964,393.5999999999983,450.44999999999794,446.6599999999979
7,aligned,100000,0.9404527922657903,0.0004835969451103456,0.9399691953206799,0.39063986870906364,279.0,0.7565399032150474,1,41.84999999999978,553.5999999999972,595.449999999997,592.659999999997
8,aligned,100000,1.0090972920784367,0.0004835969451103456,1.0086136951333264,0.36472424826274047,281.0,0.755028335480208,1,42.14999999999978,550.3999999999974,592.5499999999971,589.7399999999972
9,aligned,100000,0.6505309253939944,0.0004835969451103456,0.650047328448884,0.5220210697288329,263.0,0.7687418973111603,0,39.449999999999804,579.1999999999971,618.6499999999969,616.0199999999969
10,aligned,100000,0.8281769356015444,0.0004835969451103456,0.827693338656434,0.4370562652874253,336.0,0.7146231058160573,0,50.3999999999997,462.39999999999725,512.799999999997,509.439999999997
11,aligned,100000,1.2577613443799438,0.0004835969451103456,1.2572777474348336,0.28442725638703936,254.0,0.775691802046476,1,38.09999999999982,593.5999999999982,631.699999999998,629.159999999998
12,aligned,100000,1.2631320427188224,0.0004835969451103456,1.2626484457737122,0.28290377812669376,222.0,0.8009153643346592,1,33.29999999999986,644.7999999999973,678.0999999999972,675.8799999999972
13,aligned,100000,1.4655055259513956,0.0004835969451103456,1.4650219290062854,0.23107292422216283,201.0,0.8179124315538594,1,30.149999999999892,678.3999999999978,708.5499999999977,706.5399999999977
14,aligned,100000,0.9317540806320586,0.0004835969451103456,0.9312704836869482,0.39405275461439176,254.0,0.775691802046476,1,38.09999999999982,593.5999999999967,631.6999999999965,629.1599999999966
15,aligned,100000,0.4529889906388221,0.0004835969451103456,0.45250539369371173,0.6360326415967288,306.0,0.7363866194561001,1,45.89999999999974,510.3999999999954,556.2999999999951,553.2399999999951
16,aligned,100000,0.4638284932642375,0.0004835969451103456,0.4633448963191271,0.629175594735841,386.0,0.679770525680321,1,57.89999999999963,382.3999999999983,440.2999999999979,436.4399999999979
17,aligned,100000,0.11842970509551327,0.0004835969451103456,0.11794610815040293,0.8887439473791795,430.0,0.6505090947233165,1,64.49999999999959,311.9999999999986,376.4999999999982,372.19999999999817
18,aligned,100000,-0.0406325918328842,0.0004835969451103456,0.04111618877799455,0.9597176150526219,560.0,0.5712090638488149,0,84.00000000000033,268.8000000000012,352.80000000000155,347.2000000000015
19,aligned,100000,-0.035026899046502906,0.0004835969451103456,0.03551049599161325,0.9651126043630378,496.0,0.6089616410728969,1,74.39999999999996,148.80000000000194,223.20000000000192,218.2400000000019
0,aligned,100001,-0.026960284037184916,-0.15237390712566629,0.12541362308848136,0.8821319569703422,507.0,0.6022997704830654,1,76.05000000000003,193.60000000000153,269.65000000000157,264.5800000000016
1,aligned,100001,-0.4202821477896316,-0.15237390712566629,0.2679082406639653,0.7649779717532603,619.0,0.5384826510941678,1,92.85000000000066,390.39999999999765,483.2499999999983,477.0599999999983
2,aligned,100001,0.05548907486062041,-0.15237390712566629,0.2078629819862867,0.812318331331343,536.0,0.5850839135917069,0,80.40000000000019,252.80000000000175,333.2000000000019,327.8400000000019
3,aligned,100001,0.026303868276442953,-0.15237390712566629,0.17867777540210925,0.8363753566948161,488.0,0.6138528730428171,1,73.19999999999992,203.20000000000186,276.4000000000018,271.5200000000018
4,aligned,100001,0.1840287308176356,-0.15237390712566629,0.3364026379433019,0.7143354293571109,462.0,0.6300223399419123,1,69.29999999999977,254.40000000000205,323.7000000000018,319.0800000000018
5,aligned,100001,0.40085832932633264,-0.15237390712566629,0.5532322364519989,0.5750879827269362,370.0,0.6907343306373547,0,55.49999999999965,407.9999999999984,463.49999999999807,459.7999999999981
